Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Trend,PEWI,ALPS phase,Data Type,Unit,Currency,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2006,07,1.6,1.4,0.246,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2006,08,1.6,1.87,-0.342,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2006,09,1.6,1.44,0.204,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2006,10,1.6,1.75,-0.195,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2006,11,,,,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2006,12,1.25,0.92,0.414,Stress,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,01,1.1,0.75,0.435,Stress,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,02,1.7,1.24,0.581,Stress,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,03,1.6,1.17,0.539,Stress,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,04,1.6,1.1,0.623,Stress,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,05,1.6,1.84,-0.3,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,06,,,,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,07,1.8,2.83,-1.301,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,08,2.3,3.3,-1.259,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,09,2,2.87,-1.091,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,10,1.65,3.18,-1.93,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,11,2,2.94,-1.178,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2007,12,1.6,2.35,-0.944,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,01,1.95,2.18,-0.294,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,02,2.8,2.67,0.168,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,03,2.7,2.6,0.126,,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,04,2.8,2.53,0.336,Stress,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,05,4.6,3.27,1.678,Alert,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,06,5,3.99,1.277,Alert,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,07,5.1,4.26,1.055,Alert,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,08,6,4.73,1.6,Alert,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,09,5,4.3,0.887,Stress,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,10,6.3,4.61,2.125,Crisis,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,11,5.3,4.36,1.178,Alert,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2008,12,4.2,3.78,0.53,Stress,Actual,KG,ETB,,,
Ethiopia,Amhara,Abomsa,Maize (white),Retail,2009,01,3.5,3.61,-0.141,,Actual,KG,ETB,,,
