YEAR,QUARTER,DATE,ADMIN1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
2014,1,201401,Addis Ababa,1,616,6160000,1,1,0,1,0,616,1,1,1,1
2014,1,201401,Afar,2,9979533,99795330000,1,3,2,2.398533478,0.490799102,23936244,3,2,1,2
2014,1,201401,Amhara,3,15976208,1.59762E+11,1,3,2,1.214518677,0.506172613,19403403,3,1,3,1
2014,1,201401,Dire Dawa,4,100049,1000490000,1,2,1,1.001639197,0.040453799,100213,2,1,2,1
2014,1,201401,Gambela,5,3159592,31595920000,1,1,0,1,0,3159592,1,1,1,1
2014,1,201401,Harari,6,38312,383120000,1,1,0,1,0,38312,1,1,1,1
2014,1,201401,Oromia,7,32822155,3.28222E+11,1,2,1,1.118344606,0.323015727,36706480,2,1,2,1
2014,1,201401,Somali,8,31962575,3.19626E+11,1,2,1,1.99980158,0.01408475,63918808,2,2,1,2
2014,1,201401,Tigray,9,5847032,58470320000,1,3,2,1.310516857,0.462915508,7662634,3,1,3,1
2014,1,201401,SNNPR,10,10926361,1.09264E+11,1,2,1,1.328072082,0.469511226,14510995,2,1,2,1
2014,1,201401,Benshangul Gumuz,11,5212460,52124600000,1,1,0,1,0,5212460,1,1,1,1
2014,2,201404,Addis Ababa,1,616,6160000,1,1,0,1,0,616,1,1,1,1
2014,2,201404,Afar,2,9979533,99795330000,1,3,2,2.399410473,0.4898603,23944996,3,2,1,2
2014,2,201404,Amhara,3,15976208,1.59762E+11,1,3,2,1.615033555,0.760260359,25802112,3,1,3,1
2014,2,201404,Dire Dawa,4,100049,1000490000,2,2,0,2,0,200098,1,2,2,2
2014,2,201404,Gambela,5,3159592,31595920000,1,1,0,1,0,3159592,1,1,1,1
2014,2,201404,Harari,6,38312,383120000,2,2,0,2,0,76624,1,2,2,2
2014,2,201404,Oromia,7,32822155,3.28222E+11,1,3,2,1.574245536,0.569314817,51670131,3,2,3,2
2014,2,201404,Somali,8,31962575,3.19626E+11,1,3,2,2.000045491,0.007834681,63926604,3,2,1,2
2014,2,201404,Tigray,9,5847032,58470320000,1,3,2,1.819001846,0.840155693,10635762,3,1,2,2
2014,2,201404,SNNPR,10,10926361,1.09264E+11,1,3,2,1.576096653,0.538826577,17221001,3,2,3,2
2014,2,201404,Benshangul Gumuz,11,5212460,52124600000,1,1,0,1,0,5212460,1,1,1,1
2014,3,201407,Addis Ababa,1,616,6160000,1,1,0,1,0,616,1,1,1,1
2014,3,201407,Afar,2,9979533,99795330000,1,3,2,2.399301751,0.489837962,23943911,3,2,1,2
2014,3,201407,Amhara,3,15976208,1.59762E+11,1,3,2,1.55793058,0.684671898,24889823,3,1,3,1
2014,3,201407,Dire Dawa,4,100049,1000490000,2,2,0,2,0,200098,1,2,2,2
2014,3,201407,Gambela,5,3159592,31595920000,1,1,0,1,0,3159592,1,1,1,1
2014,3,201407,Harari,6,38312,383120000,2,2,0,2,0,76624,1,2,2,2
2014,3,201407,Oromia,7,32822155,3.28222E+11,1,3,2,1.625560601,0.580356758,53354402,3,2,3,2
2014,3,201407,Somali,8,31962575,3.19626E+11,2,3,1,2.000025154,0.005015355,63925954,2,2,3,2
2014,3,201407,Tigray,9,5847032,58470320000,1,3,2,1.720635529,0.749807372,10060611,3,1,3,2
2014,3,201407,SNNPR,10,10926361,1.09264E+11,1,3,2,1.14503255,0.398547698,12511039,3,1,3,1
2014,3,201407,Benshangul Gumuz,11,5212460,52124600000,1,1,0,1,0,5212460,1,1,1,1
2014,4,201410,Addis Ababa,1,55645,556450000,1,1,0,1,0,55645,1,1,1,1
2014,4,201410,Afar,2,9979533,99795330000,1,3,2,2.420427689,0.495210916,24154738,3,2,1,2
2014,4,201410,Amhara,3,15976208,1.59762E+11,1,3,2,1.080361372,0.271865423,17260078,3,1,3,1
2014,4,201410,Dire Dawa,4,109072,1090720000,1,2,1,1.911773874,0.283623477,208521,2,2,1,2
2014,4,201410,Gambela,5,3159592,31595920000,1,1,0,1,0,3159592,1,1,1,1
2014,4,201410,Harari,6,38312,383120000,1,1,0,1,0,38312,1,1,1,1
2014,4,201410,Oromia,7,32822760,3.28228E+11,1,3,2,1.274440693,0.47373601,41830661,3,1,3,1
2014,4,201410,Somali,8,31962651,3.19627E+11,1,3,2,1.999828675,0.015218936,63919826,3,2,3,2
2014,4,201410,Tigray,9,5847032,58470320000,1,2,1,1.108979735,0.311613788,6484240,2,1,2,1
2014,4,201410,SNNPR,10,10926361,1.09264E+11,1,2,1,1.127596828,0.333640341,12320530,2,1,2,1
2014,4,201410,Benshangul Gumuz,11,5212460,52124600000,1,1,0,1,0,5212460,1,1,1,1
